TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
14.352	-451.671	0.279	0.008	0.279	-225.594	0.930	-227.691	0.925
14.365	-460.574	0.295	0.008	0.295	-230.041	0.982	-232.301	0.977
14.378	-436.291	0.295	0.008	0.295	-217.913	0.982	-220.053	0.977
14.391	-409.579	0.284	0.008	0.284	-204.571	0.947	-206.509	0.943
14.404	-417.674	0.274	0.008	0.274	-208.614	0.912	-210.517	0.908
14.417	-446.814	0.295	0.008	0.295	-223.169	0.982	-225.360	0.977
14.430	-443.576	0.326	0.008	0.326	-221.551	1.087	-223.960	1.082
14.443	-406.342	0.310	0.008	0.310	-202.954	1.035	-205.054	1.029
14.456	-412.008	0.289	0.008	0.289	-205.784	0.965	-207.769	0.960
14.469	-432.244	0.300	0.008	0.300	-215.891	1.000	-218.050	0.995
14.482	-458.956	0.321	0.008	0.321	-229.233	1.070	-231.685	1.064
14.495	-442.767	0.316	0.008	0.316	-221.147	1.052	-223.474	1.047
14.508	-424.149	0.305	0.008	0.305	-211.848	1.017	-214.003	1.012
14.521	-436.291	0.289	0.008	0.289	-217.913	0.965	-220.015	0.960
14.533	-471.097	0.305	0.008	0.305	-235.297	1.017	-237.691	1.012
14.546	-467.050	0.331	0.008	0.331	-233.276	1.105	-235.853	1.099
14.559	-446.004	0.300	0.008	0.300	-222.764	1.000	-224.991	0.995
14.572	-441.148	0.295	0.008	0.295	-220.338	0.982	-222.503	0.977
14.585	-463.812	0.295	0.008	0.295	-231.659	0.982	-233.934	0.977
14.598	-482.429	0.310	0.008	0.310	-240.957	1.035	-243.451	1.029
14.611	-474.335	0.326	0.008	0.326	-236.914	1.087	-239.491	1.082
14.624	-442.767	0.300	0.008	0.300	-221.147	1.000	-223.358	0.995
14.637	-455.718	0.295	0.008	0.295	-227.616	0.982	-229.851	0.977
14.650	-485.667	0.300	0.008	0.300	-242.574	1.000	-244.999	0.995
14.663	-488.096	0.321	0.008	0.321	-243.787	1.070	-246.395	1.064
14.676	-454.908	0.310	0.008	0.310	-227.211	1.035	-229.563	1.029
14.689	-454.908	0.305	0.008	0.305	-227.211	1.017	-229.523	1.012
14.702	-475.954	0.300	0.008	0.300	-237.723	1.000	-240.099	0.995
14.715	-499.428	0.316	0.008	0.316	-249.447	1.052	-252.072	1.047
14.728	-484.048	0.331	0.008	0.331	-241.766	1.105	-244.437	1.099
14.741	-461.384	0.300	0.008	0.300	-230.446	1.000	-232.749	0.995
14.754	-466.241	0.289	0.008	0.289	-232.871	0.965	-235.118	0.960
14.767	-499.428	0.300	0.008	0.300	-249.447	1.000	-251.941	0.995
14.780	-496.190	0.326	0.008	0.326	-247.830	1.087	-250.525	1.082
14.793	-471.907	0.321	0.008	0.321	-235.702	1.070	-238.223	1.064
14.806	-468.669	0.289	0.008	0.289	-234.084	0.965	-236.342	0.960
